geography,income_band_order,income_band_key,income_band,lower_weekly,upper_weekly,family_households,non_family_households,households,households_stated_total,households_all_total,share_of_stated,share_of_all,partial_income_stated,all_incomes_not_stated
Australia,1,negative_nil,Negative/Nil income,,0,71343,95101,166449,8633306,9275217,0.019279867990315645,0.017945563969015497,480469,161440
Australia,2,1_149,$1-$149,1,149,27184,32637,59825,8633306,9275217,0.006929558618679796,0.0064499838656065945,480469,161440
Australia,3,150_299,$150-$299,150,299,29458,82521,111980,8633306,9275217,0.012970697436184933,0.012073032900470146,480469,161440
Australia,4,300_399,$300-$399,300,399,33610,168747,202363,8633306,9275217,0.023439803940692013,0.02181760275797321,480469,161440
Australia,5,400_499,$400-$499,400,499,104593,405808,510397,8633306,9275217,0.05911953080314772,0.055028038697100025,480469,161440
Australia,6,500_649,$500-$649,500,649,118319,259347,377669,8633306,9275217,0.04374558251497167,0.040718077000247,480469,161440
Australia,7,650_799,$650-$799,650,799,358514,176796,535302,8633306,9275217,0.06200428897110794,0.05771315107775915,480469,161440
Australia,8,800_999,$800-$999,800,999,327360,222085,549447,8633306,9275217,0.06364271114680749,0.059238182783216825,480469,161440
Australia,9,1000_1249,"$1,000-$1,249",1000,1249,396677,239892,636566,8633306,9275217,0.0737337469562645,0.06863084712735022,480469,161440
Australia,10,1250_1499,"$1,250-$1,499",1250,1499,464662,191480,656141,8633306,9275217,0.07600112865222199,0.07074130987986588,480469,161440
Australia,11,1500_1749,"$1,500-$1,749",1500,1749,351821,165338,517163,8633306,9275217,0.05990323984809527,0.05575750950085588,480469,161440
Australia,12,1750_1999,"$1,750-$1,999",1750,1999,374670,130683,505348,8633306,9275217,0.05853470269674213,0.05448368485610633,480469,161440
Australia,13,2000_2499,"$2,000-$2,499",2000,2499,821065,222654,1043721,8633306,9275217,0.12089470707976759,0.11252793330873014,480469,161440
Australia,14,2500_2999,"$2,500-$2,999",2500,2999,628512,33759,662274,8633306,9275217,0.07671151700171407,0.07140253430189289,480469,161440
Australia,15,3000_3499,"$3,000-$3,499",3000,3499,523915,58418,582333,8633306,9275217,0.06745191239601608,0.06278376020744313,480469,161440
Australia,16,3500_3999,"$3,500-$3,999",3500,3999,348953,14746,363701,8633306,9275217,0.04212766233468384,0.03921212840626802,480469,161440
Australia,17,4000_more,"$4,000 or more",4000,,1058778,93846,1152627,8633306,9275217,0.13350934161258735,0.1242695453917682,480469,161440
