state_code,state_abbr,state_name,income_band_order,income_band_key,income_band,lower_weekly,upper_weekly,family_households,non_family_households,households,households_stated_total,households_all_total,share_of_stated,share_of_all,partial_income_stated,all_incomes_not_stated
1,NSW,New South Wales,1,negative_nil,Negative/Nil income,,0,24741,31541,56276,2717937,2900468,0.020705410022380945,0.01940238609769182,130829,51710
1,NSW,New South Wales,2,1_149,$1-$149,1,149,8469,10347,18812,2717937,2900468,0.006921426066902949,0.006485849869745158,130829,51710
1,NSW,New South Wales,3,150_299,$150-$299,150,299,9007,25635,34642,2717937,2900468,0.012745696460219644,0.011943589793095458,130829,51710
1,NSW,New South Wales,4,300_399,$300-$399,300,399,10532,53244,63777,2717937,2900468,0.02346522380761585,0.021988520473247765,130829,51710
1,NSW,New South Wales,5,400_499,$400-$499,400,499,32590,124554,157146,2717937,2900468,0.05781811719697697,0.0541795324064944,130829,51710
1,NSW,New South Wales,6,500_649,$500-$649,500,649,35952,77249,113199,2717937,2900468,0.04164886824087534,0.03902783964518829,130829,51710
1,NSW,New South Wales,7,650_799,$650-$799,650,799,110483,52436,162918,2717937,2900468,0.059941786730155995,0.056169556085431734,130829,51710
1,NSW,New South Wales,8,800_999,$800-$999,800,999,98106,65351,163453,2717937,2900468,0.06013862720143991,0.05635400907715583,130829,51710
1,NSW,New South Wales,9,1000_1249,"$1,000-$1,249",1000,1249,120246,70224,190478,2717937,2900468,0.07008183044713692,0.0656714709488262,130829,51710
1,NSW,New South Wales,10,1250_1499,"$1,250-$1,499",1250,1499,141421,55033,196453,2717937,2900468,0.07228018898156947,0.06773148333303453,130829,51710
1,NSW,New South Wales,11,1500_1749,"$1,500-$1,749",1500,1749,106178,47451,153624,2717937,2900468,0.05652228142153405,0.05296524560863971,130829,51710
1,NSW,New South Wales,12,1750_1999,"$1,750-$1,999",1750,1999,113463,38935,152396,2717937,2900468,0.05607046815286741,0.05254186565754216,130829,51710
1,NSW,New South Wales,13,2000_2499,"$2,000-$2,499",2000,2499,250646,70120,320769,2717937,2900468,0.11801929183789028,0.11059215271466535,130829,51710
1,NSW,New South Wales,14,2500_2999,"$2,500-$2,999",2500,2999,192965,10539,203506,2717937,2900468,0.07487517186748625,0.07016315987626824,130829,51710
1,NSW,New South Wales,15,3000_3499,"$3,000-$3,499",3000,3499,166284,19701,185988,2717937,2900468,0.0684298421928102,0.06412344490613239,130829,51710
1,NSW,New South Wales,16,3500_3999,"$3,500-$3,999",3500,3999,114275,5042,119317,2717937,2900468,0.04389984020968845,0.04113715441783878,130829,51710
1,NSW,New South Wales,17,4000_more,"$4,000 or more",4000,,389770,35408,425183,2717937,2900468,0.1564359291624493,0.14659117080415987,130829,51710
2,VIC,Victoria,1,negative_nil,Negative/Nil income,,0,20844,27871,48714,2242085,2390232,0.02172709776837185,0.02038044842509012,105011,43142
2,VIC,Victoria,2,1_149,$1-$149,1,149,7584,8948,16534,2242085,2390232,0.007374385895271588,0.006917320159716714,105011,43142
2,VIC,Victoria,3,150_299,$150-$299,150,299,8244,21074,29323,2242085,2390232,0.013078451530606557,0.01226784680315551,105011,43142
2,VIC,Victoria,4,300_399,$300-$399,300,399,8858,42045,50903,2242085,2390232,0.02270342114594228,0.021296259107902497,105011,43142
2,VIC,Victoria,5,400_499,$400-$499,400,499,26956,100982,127941,2242085,2390232,0.05706340303779741,0.0535266032753306,105011,43142
2,VIC,Victoria,6,500_649,$500-$649,500,649,29537,63690,93226,2242085,2390232,0.04158004714361855,0.03900290850427908,105011,43142
2,VIC,Victoria,7,650_799,$650-$799,650,799,88310,46107,134416,2242085,2390232,0.05995133993581867,0.05623554533618494,105011,43142
2,VIC,Victoria,8,800_999,$800-$999,800,999,83047,58034,141081,2242085,2390232,0.06292401938374326,0.05902397758878636,105011,43142
2,VIC,Victoria,9,1000_1249,"$1,000-$1,249",1000,1249,101505,63393,164898,2242085,2390232,0.07354672102083552,0.06898828230899762,105011,43142
2,VIC,Victoria,10,1250_1499,"$1,250-$1,499",1250,1499,119946,51629,171575,2242085,2390232,0.07652475262980662,0.07178173499476201,105011,43142
2,VIC,Victoria,11,1500_1749,"$1,500-$1,749",1500,1749,92033,45650,137681,2242085,2390232,0.06140757375389425,0.05760152152594392,105011,43142
2,VIC,Victoria,12,1750_1999,"$1,750-$1,999",1750,1999,97782,35692,133479,2242085,2390232,0.0595334253607691,0.05584353318004277,105011,43142
2,VIC,Victoria,13,2000_2499,"$2,000-$2,499",2000,2499,214831,59943,274771,2242085,2390232,0.12255155357624711,0.11495578671861141,105011,43142
2,VIC,Victoria,14,2500_2999,"$2,500-$2,999",2500,2999,166290,9150,175438,2242085,2390232,0.07824770247336742,0.07339789610380917,105011,43142
2,VIC,Victoria,15,3000_3499,"$3,000-$3,499",3000,3499,136741,15737,152480,2242085,2390232,0.0680081263645223,0.06379297072418075,105011,43142
2,VIC,Victoria,16,3500_3999,"$3,500-$3,999",3500,3999,90148,4185,94330,2242085,2390232,0.04207244595989893,0.039464788355272624,105011,43142
2,VIC,Victoria,17,4000_more,"$4,000 or more",4000,,270105,25198,295295,2242085,2390232,0.13170553301948856,0.12354240090501675,105011,43142
3,QLD,Queensland,1,negative_nil,Negative/Nil income,,0,13167,17115,30277,1727298,1869462,0.017528533003569737,0.016195568564645872,108865,33298
3,QLD,Queensland,2,1_149,$1-$149,1,149,5483,6130,11615,1727298,1869462,0.006724375295982511,0.006213017434962572,108865,33298
3,QLD,Queensland,3,150_299,$150-$299,150,299,5669,15400,21073,1727298,1869462,0.012199979389775245,0.011272226982950174,108865,33298
3,QLD,Queensland,4,300_399,$300-$399,300,399,6543,32216,38761,1727298,1869462,0.022440250611070005,0.020733772604096794,108865,33298
3,QLD,Queensland,5,400_499,$400-$499,400,499,21029,80026,101054,1727298,1869462,0.05850409136118956,0.05405512388056029,108865,33298
3,QLD,Queensland,6,500_649,$500-$649,500,649,25089,56089,81177,1727298,1869462,0.04699652289298083,0.04342265314833894,108865,33298
3,QLD,Queensland,7,650_799,$650-$799,650,799,77382,36262,113642,1727298,1869462,0.0657917742045669,0.06078861191080642,108865,33298
3,QLD,Queensland,8,800_999,$800-$999,800,999,70711,46900,117610,1727298,1869462,0.06808900375036618,0.06291114769917762,108865,33298
3,QLD,Queensland,9,1000_1249,"$1,000-$1,249",1000,1249,84997,49608,134603,1727298,1869462,0.07792691243780749,0.07200092860940742,108865,33298
3,QLD,Queensland,10,1250_1499,"$1,250-$1,499",1250,1499,99157,39311,138463,1727298,1869462,0.08016161658266263,0.0740656937664419,108865,33298
