sa2_code,sa2_name,sa3_code,sa3_name,sa4_code,sa4_name,gcc_code,gcc_name,state_code,state_name,state_abbr,area_sqkm,median_age,median_mortgage_monthly,median_personal_income_weekly,median_rent_weekly,median_family_income_weekly,avg_persons_per_bedroom,median_household_income_weekly,avg_household_size,households_income_stated,households_total,income_stated_rate,share_below_800,share_below_1000,share_2000_plus,share_3000_plus,share_4000_plus,tenure_total,owned_outright_share,owned_with_mortgage_share,rented_share,map_quality_500plus,map_quality_1000plus
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3418.3525,51,1732,760,330,1886,0.8,1429,2.2,1601,1719,0.9313554392088423,0.2767020612117427,0.3566520924422236,0.3610243597751405,0.19862585883822612,0.10368519675202999,1719,0.4973821989528796,0.3182082606166376,0.14717859220477023,1,1
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6.9825,38,1950,975,350,2334,0.8,1989,2.6,2859,3075,0.9297560975609757,0.19412381951731375,0.24833857992305003,0.4963273871983211,0.28436516264428124,0.14270724029380902,3075,0.2910569105691057,0.40227642276422765,0.28552845528455284,1,1
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,4.762,37,1700,996,330,2233,0.9,1703,2.1,4717,4916,0.959519934906428,0.2090311638753445,0.26648293406826373,0.4100063599745601,0.201187195251219,0.09963960144159423,4916,0.22599674532139952,0.31550040683482505,0.4310414971521562,1,1
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.0032,36,1700,1104,310,2412,0.9,1796,2.1,2160,2276,0.9490333919156415,0.17453703703703705,0.23703703703703705,0.4310185185185185,0.22361111111111112,0.11574074074074074,2276,0.22934973637961337,0.31282952548330406,0.4318980667838313,1,1
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.6748,37,2300,1357,430,3332,0.8,3014,2.9,4059,4305,0.9428571428571428,0.08721359940872137,0.11924119241192412,0.7041143138704115,0.5006159152500615,0.33013057403301305,4305,0.2854819976771196,0.4713124274099884,0.2295005807200929,1,1
101021610,Googong,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6.9164,31,2600,1629,531,3444,0.8,3363,3.1,1835,1929,0.9512700881285641,0.029427792915531336,0.03651226158038147,0.8506811989100818,0.6032697547683924,0.34005449591280656,1929,0.06687402799377916,0.7159149818558839,0.2052877138413686,1,1
101021611,Queanbeyan Surrounds,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3047.7057,42,2417,1243,465,3117,0.8,2926,2.9,5008,5374,0.93189430591738,0.0902555910543131,0.12280351437699681,0.6853035143769968,0.4882188498402556,0.32448083067092653,5374,0.35001860811313734,0.528656494231485,0.09825083736509117,1,1
101031013,Bombala,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3990.144,49,1083,704,200,1759,0.7,1253,2.2,919,981,0.9367991845056065,0.3307943416757345,0.41458106637649617,0.3003264417845484,0.13601741022850924,0.056583242655059846,981,0.4964322120285423,0.25076452599388377,0.18246687054026503,1,0
101031014,Cooma,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,103.6371,44,1300,771,290,1911,0.7,1377,2.2,2534,2738,0.9254930606281958,0.30189423835832674,0.3800315706393054,0.34806629834254144,0.1653512233622731,0.07261247040252565,2738,0.38093498904309714,0.2888970051132213,0.2921840759678597,1,1
101031015,Cooma Surrounds,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6251.0158,50,1627,794,290,2068,0.7,1596,2.4,1163,1277,0.9107282693813625,0.26827171109200343,0.33276010318142735,0.40842648323301806,0.21840068787618228,0.11092003439380911,1277,0.5121378230227095,0.34690681284259983,0.09240407204385279,1,1
101031016,Jindabyne - Berridale,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3939.7888,38,1729,912,380,2275,0.8,1911,2.5,2514,2741,0.9171835096680043,0.19013524264120923,0.2549721559268099,0.4785202863961814,0.25139220365950676,0.1284805091487669,2741,0.34804815760671287,0.3112002918642831,0.29405326523166725,1,1
101041017,Batemans Bay,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,63.7073,51,1519,596,330,1366,0.7,1120,2.2,3243,3468,0.9351211072664359,0.3613937711995066,0.4495837187789084,0.22725871106999693,0.08603145235892692,0.034535923527597906,3468,0.42560553633217996,0.2315455594002307,0.29988465974625145,1,1
101041018,Batemans Bay - South,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,30.5948,54,1600,638,350,1453,0.7,1215,2.2,3405,3697,0.9210170408439275,0.31776798825256974,0.4105726872246696,0.26607929515418505,0.11483113069016153,0.051982378854625554,3697,0.4809304841763592,0.23126859615904788,0.25615363808493374,1,1
101041019,Bega - Tathra,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,183.8984,46,1517,704,320,1655,0.7,1276,2.3,3307,3559,0.9291935937060972,0.3141820381009979,0.39733897792561235,0.3017840943453281,0.12972482612639855,0.05594194133655882,3559,0.42118572632762014,0.2798538915425681,0.26159033436358525,1,1
101041020,Bega-Eden Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,4709.8265,51,1300,603,265,1457,0.8,1220,2.4,3389,3699,0.9161935658286023,0.33166125700796695,0.42077308940690467,0.2655650634405429,0.10711124225435231,0.047506639126586016,3699,0.5374425520410921,0.3060286563936199,0.10813733441470667,1,1
101041021,Broulee - Tomakin,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,24.2329,52,1733,738,360,1761,0.7,1378,2.3,1393,1514,0.9200792602377807,0.2663316582914573,0.36109117013639624,0.33237616654702085,0.17516152189519024,0.08255563531945441,1514,0.4749009247027741,0.25429326287978865,0.19352708058124174,1,1
101041022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,2781.9988,59,758,462,0,866,1.1,875,2.4,9,10,0.9,0.3333333333333333,1.0,0.0,0.0,0.0,10,1.2,0.0,0.0,0,0
101041023,Eden,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,94.8138,53,1517,573,270,1345,0.7,1013,2.2,1212,1378,0.8795355587808418,0.400990099009901,0.4909240924092409,0.21534653465346534,0.07425742574257425,0.02557755775577558,1378,0.4455732946298984,0.19593613933236576,0.29753265602322204,1,1
101041024,Eurobodalla Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,1460.0118,53,1387,639,300,1502,0.8,1290,2.3,1237,1325,0.9335849056603773,0.29668552950687144,0.3904607922392886,0.2926434923201294,0.11721907841552143,0.05578011317704123,1325,0.5275471698113208,0.2807547169811321,0.12528301886792453,1,1
101041025,Merimbula - Tura Beach,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,97.3395,54,1600,679,340,1614,0.7,1235,2.1,4559,4863,0.9374871478511208,0.3191489361702128,0.4044746654968195,0.2895371792059662,0.12349199385830226,0.05593331871024348,4863,0.4926999794365618,0.2541640962368908,0.215916101172116,1,1
101041026,Moruya - Tuross Head,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,165.4118,56,1517,612,310,1451,0.7,1150,2.2,3341,3586,0.9316787506971556,0.3516911104459743,0.4405866507033822,0.25591140377132593,0.10445974259203832,0.04310086800359174,3586,0.5167317345231456,0.2573898494143893,0.18767428890128277,1,1
101041027,Narooma - Bermagui,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,252.652,59,1500,579,290,1342,0.7,1017,2.1,3922,4206,0.9324774132192106,0.3931667516573177,0.4946455889852116,0.2118816930137685,0.0815910249872514,0.036970933197348295,4206,0.5620542082738944,0.19923918212077985,0.20137898240608654,1,1
101051539,Goulburn,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,64.7865,40,1636,749,320,1911,0.7,1418,2.3,8873,9486,0.9353784524562513,0.29223486982982083,0.364251098839175,0.35219204327735826,0.15890904992674407,0.06728276794770653,9486,0.3299599409656336,0.30423782416192285,0.334809192494202,1,1
101051540,Goulburn Surrounds,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,9035.1222,48,1733,735,300,1922,0.7,1516,2.5,4658,5054,0.9216462208151959,0.270502361528553,0.34285100901674537,0.38986689566337485,0.2013739802490339,0.10283383426363246,5054,0.4845666798575386,0.3333992876929165,0.1260387811634349,1,1
101061541,Yass,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,99.7341,42,1773,867,340,2185,0.8,1739,2.5,2347,2524,0.9298732171156894,0.21389007243289304,0.28248828291435873,0.43289305496378355,0.2390285470813805,0.10694503621644652,2524,0.3312202852614897,0.39857369255150554,0.23494453248811412,1,1
101061542,Yass Surrounds,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,5680.5696,43,2275,1129,400,2916,0.8,2575,2.8,3878,4180,0.9277511961722488,0.12532233109850438,0.1629706034038164,0.6178442496132027,0.43424445590510574,0.2810727178958226,4180,0.3688995215311005,0.48564593301435405,0.09856459330143541,1,1
101061543,Young,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,505.753,42,1300,661,250,1526,0.7,1170,2.4,3850,4209,0.9147065811356617,0.3420779220779221,0.43532467532467534,0.27610389610389613,0.11584415584415585,0.051688311688311686,4209,0.3815633167023046,0.28652886671418387,0.2872416250890948,1,1
101061544,Young Surrounds,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,5849.8086,49,1083,646,220,1572,0.7,1169,2.3,2709,2990,0.9060200668896321,0.35105204872646734,0.4359542266519011,0.28313030638612036,0.12181616832779624,0.05906238464377999,2990,0.4765886287625418,0.2665551839464883,0.16722408026755853,1,1
102011028,Avoca Beach - Copacabana,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,NSW,6.4376,43,2438,915,520,2562,0.8,2276,2.8,2371,2530,0.9371541501976285,0.1425558835934205,0.18894981020666385,0.5622100379586672,0.37368199072121466,0.22901729228173767,2530,0.36798418972332014,0.42569169960474307,0.18893280632411066,1,1
102011029,Box Head - MacMasters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,NSW,32.0802,49,2167,780,450,2187,0.7,1775,2.5,3978,4221,0.9424307036247335,0.23906485671191555,0.30618401206636503,0.4482151835093012,0.27425842131724487,0.15535444947209653,4221,0.4906420279554608,0.35939350864724,0.11774461028192372,1,1
102011030,Calga - Kulnura,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,NSW,767.9512,48,2167,780,350,2102,0.8,1777,2.6,1487,1641,0.9061547836684948,0.22326832548755884,0.2898453261600538,0.4445191661062542,0.2649630127774042,0.16072629455279086,1641,0.4034125533211456,0.3229737964655698,0.20597196831200487,1,1
102011031,Erina - Green Point,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,NSW,33.7934,50,2167,692,410,2087,0.7,1434,2.4,5244,5609,0.9349260117668033,0.3093058733790999,0.37795575896262396,0.39569031273836763,0.2467581998474447,0.14664378337147216,5609,0.4453556783740417,0.3050454626493136,0.17133178819753966,1,1
