sa2_code,sa2_name,sa3_code,sa3_name,sa4_code,sa4_name,gcc_code,gcc_name,state_code,state_name,state_abbr,area_sqkm,year,median_age,median_mortgage_monthly,median_personal_income_weekly,median_rent_weekly,median_family_income_weekly,avg_persons_per_bedroom,median_household_income_weekly,avg_household_size
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3418.3525,2011,46.0,1517.0,516.0,220.0,1253.0,0.8,907.0,2.3
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3418.3525,2016,49.0,1582.0,594.0,280.0,1432.0,0.8,1083.0,2.3
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,3418.3525,2021,51.0,1732.0,760.0,330.0,1886.0,0.8,1429.0,2.2
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6.9825,2011,35.0,1950.0,743.0,280.0,1822.0,0.8,1547.0,2.7
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6.9825,2016,37.0,1928.0,812.0,300.0,2007.0,0.8,1692.0,2.6
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,6.9825,2021,38.0,1950.0,975.0,350.0,2334.0,0.8,1989.0,2.6
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,4.762,2011,37.0,1755.0,749.0,280.0,1679.0,0.9,1264.0,2.1
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,4.762,2016,36.0,1733.0,837.0,280.0,1844.0,0.9,1400.0,2.1
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,4.762,2021,37.0,1700.0,996.0,330.0,2233.0,0.9,1703.0,2.1
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.0032,2011,35.0,1900.0,829.0,270.0,1857.0,0.9,1398.0,2.2
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.0032,2016,35.0,1842.0,883.0,270.0,2001.0,0.9,1434.0,2.2
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.0032,2021,36.0,1700.0,1104.0,310.0,2412.0,0.9,1796.0,2.1
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.6748,2011,34.0,2383.0,1029.0,335.0,2586.0,0.8,2393.0,3.0
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.6748,2016,36.0,2167.0,1118.0,375.0,2789.0,0.8,2479.0,2.9
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW,13.6748,2021,37.0,2300.0,1357.0,430.0,3332.0,0.8,3014.0,2.9
