year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2011,couple,Couple families with children,1,1 child,1,negative_nil,Negative/Nil income,4672,781521,0.005978086321416827,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,1,negative_nil,Negative/Nil income,3698,914108,0.004045473838977451,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,1,negative_nil,Negative/Nil income,1063,347658,0.003057602586449902,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,1,negative_nil,Negative/Nil income,0,107134,0.0,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,2,1_149,$1-$149,1610,781521,0.0020600853975772885,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,2,1_149,$1-$149,1261,914108,0.0013794868877638092,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,2,1_149,$1-$149,284,347658,0.0008168947643948938,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,2,1_149,$1-$149,71,107134,0.0006627214516400022,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,3,150_299,$150-$299,6331,781521,0.008100869970224729,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,3,150_299,$150-$299,4646,914108,0.005082550420738031,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,3,150_299,$150-$299,1652,347658,0.004751796305564664,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,3,150_299,$150-$299,794,107134,0.007411279332424814,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
